utterance,response,key_words
Hi,"Hi, I am your assistant today how can I help you today",hi
hello,"Hi, I am your assistant today how can I help you today",hello
hey there,"Hi, I am your assistant today how can I help you today",hey
hiiiiii,"Hi, I am your assistant today how can I help you today",hiiiiii
helooooo,"Hi, I am your assistant today how can I help you today",helooooo
bye,"Hope, I was able to help you take care, bye",bye
goodbye,"Hope, I was able to help you take care, bye",goodbye
babye,"Hope, I was able to help you take care, bye",babye
bye for now,"Hope, I was able to help you take care, bye",bye
thanks bye,"Hope, I was able to help you take care, bye",thanks bye
who are you ,I am Smart chatbot designed by <name>,who are you 
what is your name ,I am Smart chatbot designed by <name>,name
your name ,I am Smart chatbot designed by <name>,name
tell me ur name ,I am Smart chatbot designed by <name>,tell ur name
do you have any name ,I am Smart chatbot designed by <name>,name
who is the Indian prime Minister,It's Narendra Modi,indian prime minister
tell me the pm name ,It's Narendra Modi,tell pm name
prime minister name,It's Narendra Modi,prime minister name
name of indian prime minister,It's Narendra Modi,name indian prime minister
what is the name of prime minister of India ,It's Narendra Modi,name prime minister india
